Tarih,Tahmin
2020-10-24 00:00:00,23.735607714457743
2020-10-25 00:00:00,23.403373370260177
2020-10-26 00:00:00,23.403839113582336
2020-10-27 00:00:00,24.392337641796537
2020-10-28 00:00:00,23.88645703750504
2020-10-29 00:00:00,24.270011811718902
2020-10-30 00:00:00,24.07797390877446
2020-10-31 00:00:00,24.357351288000302
2020-11-01 00:00:00,24.716776947329393
2020-11-02 00:00:00,24.663053605987784
2020-11-03 00:00:00,24.360623149658693
2020-11-04 00:00:00,24.034372193491443
2020-11-05 00:00:00,23.397453669985936
