Tarih,Tahmin
2020-10-24 00:00:00,22.127358469214084
2020-10-25 00:00:00,22.13456719597447
2020-10-26 00:00:00,22.137042821206265
2020-10-27 00:00:00,22.219306876490954
2020-10-28 00:00:00,22.413507267394685
2020-10-29 00:00:00,22.715355933196278
2020-10-30 00:00:00,22.857937360801408
2020-10-31 00:00:00,23.04169407521712
2020-11-01 00:00:00,23.262445418941343
2020-11-02 00:00:00,23.15757024625219
2020-11-03 00:00:00,22.630650853863536
2020-11-04 00:00:00,22.887595623986094
2020-11-05 00:00:00,22.817685983479443
