Tarih,Tahmin
2020-10-24 00:00:00,11.401757200522797
2020-10-25 00:00:00,12.172122127574003
2020-10-26 00:00:00,12.500633892942941
2020-10-27 00:00:00,12.87482056161627
2020-10-28 00:00:00,12.51091160806375
2020-10-29 00:00:00,12.525124639399795
2020-10-30 00:00:00,12.40389237595213
2020-10-31 00:00:00,12.284496104811685
2020-11-01 00:00:00,12.060386331229068
2020-11-02 00:00:00,12.175139779592774
2020-11-03 00:00:00,12.036149348426402
2020-11-04 00:00:00,11.88826787311344
2020-11-05 00:00:00,12.154868150218196
