Tarih,Tahmin
2020-10-24 00:00:00,25.573223473744886
2020-10-25 00:00:00,25.58661835746423
2020-10-26 00:00:00,25.78252020710084
2020-10-27 00:00:00,25.631966061793978
2020-10-28 00:00:00,25.65223069527324
2020-10-29 00:00:00,25.399440327902358
2020-10-30 00:00:00,25.22229225374047
2020-10-31 00:00:00,25.259380325507177
2020-11-01 00:00:00,25.183307029687565
2020-11-02 00:00:00,25.013230786708373
2020-11-03 00:00:00,24.943482221310113
2020-11-04 00:00:00,25.43316289708789
2020-11-05 00:00:00,25.71490200513875
