Tarih,Tahmin
2020-10-24 00:00:00,17.292392651260755
2020-10-25 00:00:00,17.210184564342168
2020-10-26 00:00:00,17.20570624558121
2020-10-27 00:00:00,17.40628382867799
2020-10-28 00:00:00,17.769153768733776
2020-10-29 00:00:00,17.54245734715613
2020-10-30 00:00:00,17.336141218025166
2020-10-31 00:00:00,17.361599982329153
2020-11-01 00:00:00,17.354913513055475
2020-11-02 00:00:00,17.265253169641298
2020-11-03 00:00:00,17.17976891402171
2020-11-04 00:00:00,16.799884870128665
2020-11-05 00:00:00,17.301515826644582
