Tarih,Tahmin
2020-10-24 00:00:00,2.132477981656428
2020-10-25 00:00:00,1.9703023136929032
2020-10-26 00:00:00,1.9154098472741763
2020-10-27 00:00:00,2.0196603579618366
2020-10-28 00:00:00,1.7772740593224092
2020-10-29 00:00:00,1.9407763326939398
2020-10-30 00:00:00,2.0179998745321455
2020-10-31 00:00:00,2.0331213445051404
2020-11-01 00:00:00,2.0813282077269917
2020-11-02 00:00:00,2.1125485293504207
2020-11-03 00:00:00,2.1302302036737317
2020-11-04 00:00:00,2.218858187693961
2020-11-05 00:00:00,2.0773886887001227
2020-11-06 00:00:00,2.130093533101237
2020-11-07 00:00:00,2.1215823543068564
2020-11-08 00:00:00,2.1629393203802825
2020-11-09 00:00:00,2.1363056210152807
2020-11-10 00:00:00,2.116861688701827
2020-11-11 00:00:00,2.163565593766722
2020-11-12 00:00:00,2.1615161521424313
2020-11-13 00:00:00,2.071915669440659
2020-11-14 00:00:00,2.1247576609004155
2020-11-15 00:00:00,2.125517928326608
2020-11-16 00:00:00,2.1626999727081424
2020-11-17 00:00:00,1.9197277034303726
2020-11-18 00:00:00,2.11454596934069
